Sentence
1. Khalnayak gachyal jungle madhye god gondhal karun zop ghetoy.
"2. Garib lokana gaurav asava he changla guna aahe, khunas karun garva thevayla nako."
"3. Changla jevan, chamakdar kapde ani god zaga milali tar jindagi khushkhabar aahe."
"4. Jungle madhye jiraf, gondas ani guni jivant aslyamule jivsrushti chamatkar aahe."
5. Khunas karayla ghabrat aslelya khalnayak la shevti jeet milali nahi.
"6. Gadhul gharat god zaga shodhun, guni lokanni jimmedar jagrut rahile pahije."
7. Jamin varil jivanu jeernoddhar karnyasathi jaivik ghol vaparataat.
8. Joshane bharlelya jawan lokana jimkhana madhye jeet milali.
9. Jamin varil jalpralayane ghor ghanerda jhalela.
"10. Jungle madhye god jaga shodhun, garib lok zop ghet hote."
"11. Changla jevan, chamatkar jadu ani god gungat jhalyasarkhe vatle."
12. Khunasacha khulas khushkhabar asel tari garib lokana nyay milala pahije.
"13. Jahir zalela ghor khunas pahila, garib lok ghabrat hote."
"14. Jungle madhye, guni shikari, jiraf shikar karnyasathi, god jaga shodhtoy."
15. Guni vyakti changla jevan banvat astil tar garva thevayla harakat nahi.
"16. Ghor khunas ghungat madhye jhala, khalnayak god zaga shodhun potachala."
"17. Jungle madhye zalela gondhal, khalnayakache kaary aahe he jahir zale."
"18. Changla jevan, chamakdar kapde, ani god zaga milali tar jindagi khushkhabar aahe."
"19. Garib lokana jamin milali he khushkhabar aahe, khunasachi chinta nahi karaychi."
"20. Jungle madhye jiraf ani god jivanu, chamatkar disat hote."
"21. Khalnayak god jungle madhye zop ghetoy, jamin var jeern kapde taktoy."
"22. Joshane bharlelya jawan lokana jeet milali, changla jevan jhala."
23. Ghor jalpralayane jamin varil ghar god jhale.
"24. Guni lok ghor chinta karataat, jevan changla banvat nahi."
25. Khushkhabar aali ki khunasache ghungat utarach jhale.
"26. Jahaj madhun pahile, god zalka jag disla."
"27. Joshane bharlela jawan, jungle madhye jiraf shodhat hota."
"28. Jungle madhye jevan shodhnyasathi, guni lok god jaga shodhtaat."
"29. Jamin var god gondhal jhala, khalnayakane ghor khunas kela."
"30. Changla jevan milala, jivhala tar khushkhabar aali ase vatale."
31. God jaga milel ka ya chinta ne garib lok ghabrat hote.
"32. Jahaj ne jalparyatan kela, jungle javal jaun pohachla."
33. Jamin var god ghar bagayla jivant ase pahije.
"34. Jamin var jhalela jalpralay ghor hota, khup god zaga budali."
35. Garib lokana jamin milali he khushkhabar aahe.
"36. Jungle madhye gondhal jhala, jiraf ghabrat hota."
37. Jivant rahayla changla jevan ani god zaga pahije.
38. Jahir jhalela khunas god hota.
39. Jungle madhye jiraf shodhatana guni lokana jeet milali.
40. God jamin milali tar ghar banavel.
41. Jalpralayane ghor nuksan jhale.
"42. Khalnayak gachyal hota, khunasane ghabrat nahi hota."
43. Jungle madhye jivant rahayla guni asave lagel.
"44. Changla jevan banavayla shikayche, garva nahi karaycha."
45. Garib lok khush hote jevha tyana jamin milali.
46. Jamin var god jaga shodhun ghar banvayche aahe.
47. Jungle madhye zop ghalun jivant rahayche aahe.
"48. Khalnayaka la jeet milali nahi, khunasacha khulas jhala."
"49. Jahaj ne prayatan kela, god jungle disle."
50. Ghor jalpralayane garib lok ghabrat hote.
"1. Changla jevan, khup sukhad zala."
"2. Ha kharach chamatkar aahe, avismarniya anubhav."
"3. Ghanerda ghatana ghadli, khup dukha zale."
"4. Hee jaga khup sundar aahe, saundarya pahayla pahije."
"5. Apghatachi mla khup chinta aahe, ghabrat vatte."
"6. He jevan utkrushta aahe, chamatkar aahe."
"7. Aaj khup udas aahe, nirasha vatte."
"8. He lok khup guni aahet, tyana gaurav milala pahije."
9. Jungle madhye jau nka? Dhokadayak aahe.
"10. Ha khup motha apman aahe, ashobhaniya aahe."
11. Nutan vastr khup chamakdar aahet.
"12. Atyachar kharab aahe, nishedh karayala pahije."
"13. Avismarniya prayatan, khup aanand zala."
"14. Apradh karu naye, nantar pashchattap hoil."
"15. Abhinandan karayche aahe, khup changla kaam kela."
"16. Adbhut kala, manorugn lokana madat hote."
"17. Andharat ghabrat vatte, jyoti pahije."
"18. Anukul paristhiti aahe, pragat zali pahije."
"19. Anyay zala, nyay milala pahije."
"20. Ashlil goshti, asabhya vatate."
"21. Aishwarya sampadan, purna yogdan."
"22. Komal swar, sangeet madhye maja yete."
"23. Krur vyakti, khunas karayla ghabrat nahi."
"24. Kathin kaam, cheshta karun purn kela."
"25. Kimmat bahu aahe, amulya aahe."
"26. Khatarnak jungle, jivant rahayla kathin."
"27. Khuli jaga, god vayu yet aahe."
"28. Gammat aahe, khup hasane zale."
"29. Ghor sankat, sahayak pahije."
"30. Gaurav milala, khup aanand zala."
"31. Ghruna vatte, aswacha vatate."
"32. Changla sandesh, lokanna protsahan milale."
"33. Chinta vatte, samasya kahi utar nahi."
"34. Jabardasti karu naye, anyay hoil."
"35. Jeet milali, khup jallosh zala."
"36. Jalpralay jhala, khup ghanerda jhali."
"37. Jawan mulga, khup utsaha aahe."
38. Jivant rahayla jevan pahije.
"39. Jidnyasa aahe, vidya milel."
"40. Jeern ghar, jeernoddhar karaycha aahe."
"41. Josh aahe, kaam purn hoil."
"42. Zagmag kapde, khup chamakdar disat aahet."
"43. Zatka basla, ghabrat vatte."
