Word,Score
anka,0
akad,-1
akadbaz,-1
akaran,-1
akkal,0
agamya,-1
achat,1
aghatit,-1
achal,-1
achat,1
aghori,-2
achamba,2
achetan,1
ajab,2
ajaramar,2
ajastra,2
ajinkya,2
ajay,1
adachan,-2
adathala,-2
adani,-1
ati,2
athit,0
atulniya,3
atrupta,-2
atyachar,-2
atyadhonik,1
atyavashak,2
atuchya,2
adbhut,3
advitiya,2
andhakar,-2
adharma,-2
andhavishwas,-2
andhar,-2
adharmik,-2
adhik,1
ananta,1
ananya-sadharan,2
anmol,2
anartha,-2
anakarshak,-2
anakalniya,1
anadi,-1
anadar,-1
anichha,-1
aniyamit,-1
anishta,-2
anukul,2
anutsaha,-1
anokha,2
anyay,-3
apakirti,-3
apghat,-1
apman,-2
apyash,-2
apradh,-2
apavitra,-2
apashabda,-1
apatra,-1
apura,-1
apratim,3
aprabhavi,-2
aprasidha,-2
apriya,-2
aprup,2
aflatun,3
afat,2
abhadra,-1
abhavi,-1
abhinandan,3
abhiman,2
abhutpurva,3
amaryaad,1
amulya,2
ayashasvi,-2
avghad,-2
avadhavya,2
avismarniya,2
avaydha,-1
avevastha,-1
ashudha,-2
ashobhaniya,-3
ashlil,-3
asantosh,-3
asatya,-3
asafal,-2
asabhya,-3
asurakshit,-2
aswacha,-2
aswastha,-2
ahankar,-2
adnyan,-1
aakarshak,2
aaghadi,1
aajari,-1
aathank,-2
aatmavishwas,2
aadarniya,2
aaditya,0
aananda,3
aapteshta,2
aabhar,2
aarop,-2
aavad,2
aashcharya,1
ukirda,-1
uccha,2
ujad,-2
ujala,2
univ,-2
utkhantha,2
utkarsha,2
utkrushta,3
uttam,3
uttunga,3
utsaha,3
udas,-3
udgar,2
udhat,-2
upkar,2
uphas,-1
ulekhniya,3
urja,1
aishwarya,2
ais-pais,1
ojaswi,2
oshal,-2
autuskhya,2
aushad,0
kachkach,0
kanjos,-1
kat,-1
kathin,-2
kadak,0
kadavat,-1
kapat,-2
kamjor,-2
kamtarta,-2
kami,-3
karuna,-1
karkash,-2
kalakar,1
kalpak,2
kashta,-1
kateri,-1
kalpanik,1
kimti,2
kilbil,1
kuposhit,-2
kevilvana,-1
komal,2
kautuk,2
kaushalya,1
krur,-2
krudh,-3
khatarnak,-2
kharab,-3
khalnayak,-2
khaj,0
khunas,-2
khushkhabar,3
gachyal,-3
gadhul,-3
gabala,-2
gammat,1
garib,-1
garva,-1
galiccha,-3
guni,1
guna,-1
gair,-1
gungat,-1
god,2
gondas,3
gondhal,-3
gorapan,3
gaurav,3
ghanta,0
ghanerda,-3
ghat,-2
ghabrat,-1
ghav,-1
ghruna,-3
ghor,-2
ghol,-3
chakchakat,2
chatakdar,2
chamakdar,2
chamatkar,3
changla,3
chinta,-2
chugli,-1
chestha,-1
chan,3
chhi,-3
jungle,0
jabardasti,-2
jeet,0
jamin,0
Jalpradushan,-1
Jalpralay,-1
Jalsankat,-1
Jalashay,0
Jallosh,2
Javal,0
Jawan,0
Jasa,0
Jahar,-1
Jahaj,0
Jahal,-1
Jalka,-1
Jagtik,0
Jagruk,2
Jaga,0
Jagrut,1
Jaach,-1
Jaada,0
Jaan,1
Jaat,0
Jaadu,0
Jamin,0
Jaybandi,-1
Jaalim,-1
Jast,1
Jahirat,0
Jahir,0
Jaal,0
Jigri,1
Jindagi,0
Jiddi,1
Jina,0
Jimkhana,0
Jimmedar,0
Jiraf,0
Jire,0
Jilha,0
Jivant,1
Jivlag,1
Jivanu,1
Jivhala,2
Jidnyasa,1
Jibh,0
Jeern,-1
Jeernoddhar,1
Jeev,1
Jivghena,-2
Jivdaan,2
Jivrakshak,1
Jivsrushti,0
Jugar,0
Juna,-1
Julmi,-1
Julum,-2
Jevan,0
Jaivik,0
Jokhim,-1
Jodi,0
Jopasana,1
Jordaar,1
Josh,1
Jyeshtha,1
Jyoti,0
Jwala,0
Zagda,-1
Zagmag,1
Zaga,0
Zatka,-1
Zal,-1
Zaroka,0
Zalak,0
Zakan,0
Zad,0
Zadu,0
Zikzik,0
Zindabaad,1
Zij,-1
Zunj,0
Zep,0
Zendu,0
Zop,0
Takkar,-1
Tanchai,-1
Tantanit,1
Tar,-1
Takau,-1
Targat,-1
Tikau,1
Tingal,-1
Teeka,-2
Tumdaar,1
Tekdi,0
Tok,0
Tomna,-1
Tham,1
Thar,-2
Thik,1
Thech,-1
Dalmalit,-1
Dauldaar,2
Dhabdaar,1
Taktaki,1
Takrar,2
Tagmag,-1
Tajeldaar,1
Tatastha,0
Tanta,-2
Tadjod,-1
Tadafdaar,1
Tada,1
Tadakha,-1
Tadipaar,-1
Tanaav,-2
Tandurust,1
Tam,-1
Tayar,1
Tarbez,1
Tarkvisangat,-1
Tarksangat,1
Tallakh,2
Taltalat,-1
